item,unit
Cortisol (bloed),nmol/l
Cortisol in bloed,nmol/l
Cortisol saliva (speeksel),nmol/l
Cortisol,�mol
CPAP (Bipap Vision),cmH2O
CRP (bloed),mg/l
CRP (overig),mg/l
CRP,mg/l
Cstat,ml/cmH2O
CtHB Astrup,mmol/l
Cuff druk van Tube,cmH2O
Cum.CD34/KG (overig),10^6/kg
Cum.CFU/KG (divers)-LabZis2,10^4/kg
Cum.T-cel/KG (overig),10^7/kg
Cumulatief CD34/KG (HPC-A Allogeen),10^6/kg
Cumulatief CD34/KG (HPC-A Autoloog),10^6/kg
Cumulatief T-cellen/KG ((HPC-A Allogeen),10^7/kg
Cumulatief T-cellen/KG (Tcellen concentraat),10^7/kg
CVD,mmHg
CVDm-gekoppeld,mmHg
CVVH behandel afspraken APTT (bloed),sec
CVVH behandel afspraken Bloedflow,ml/min
CVVH behandel afspraken Ca-ion (7.4) (bloed),mmol/l
CVVH behandel afspraken Onttrekken,ml/uur
CVVH behandel afspraken PostDilutie Volume,ml
CVVH behandel afspraken PreDilutie Volume,ml
CVVH Onttrokken,ml
CVVH-Vochtverlies stand,ml
Cystatine C (bloed),mg/l
cytoplasmatisch CD22 (beenmerg),Geen
cytoplasmatisch CD22 (bloed),Geen
cytoplasmatisch CD3 (beenmerg),Geen
cytoplasmatisch CD3 (bloed),Geen
cytoplasmatisch CD79a (beenmerg),Geen
cytoplasmatisch CD79a (bloed),Geen
cytoplasmatisch IgM (beenmerg),Geen
cytoplasmatisch IgM (bloed),Geen
cytoplasmatisch MPO (beenmerg),Geen
cytoplasmatisch MPO (bloed),Geen
cytoplasmatisch TdT (beenmerg),Geen
cytoplasmatisch TdT (bloed),Geen
D-Ala  (verz. urine),�mol/l
D-Ala (urine),�mol/l
D-Ala (verz. urine),�mol/24uur
D-DIMEER (bloed),mg/l
D-dimeren (bloed),mg/l
Darunavir (bloed),mg/l
Desipramine (bloed),µg/l
DHEA-sulfaat (bloed),�mol/l
DHEA-sulfaat (verz. urine),�mol/24uur
Diazepam (bloed),µg/l
Diazepam+Nordiazepam (bloed),µg/l
Dibuc.Rem% (bloed),Geen
DIGOXINE  (bloed),µg/l
Digoxine (bloed),µg/l
Digoxine spiegel,ng/ml
Dopamine (bloed),nmol/l
DOS score,Geen
Drooggew. (faeces),Geen
DTT dabigatran (Pradaxa) (bloed),ng/ml
Echografie ICARUS KlinischEventID,None
ECMO - Bloedflow,l/min
ECMO - FiO2,Geen
ECMO - Gasflow,l/min
ECMO - Hb (g/dl),g/dl
ECMO - Ht,Geen
ECMO - Part,mmHg
ECMO - Pint,mmHg
ECMO - Pomp rotaties (RPM),/min
ECMO - Pven,mmHg
ECMO - Tart,�C
ECMO - Tven,�C
ECMO - Veneuze saturatie,Geen
eGFR(MDRD) (bloed),ml/min/1.73m2
Eind exp. druk (2),cmH2O
Eind exp. druk,cmH2O
Eind insp. cyclus (Set),Geen
Eiwit g/L (liquor),g/l
Eiwit in Liquor,g/dl
Eiwit mg/L (liquor),mg/l
EIWIT mg/l (overig),mg/l
Eiwit totaal in urine,g/l
Eiwit totaal,g/l
Eiwituitsch. (verz. urine),Geen
Elastance,cmH2O/l
Elastase (faeces),µg/g
ELD-cm boven Monroe,cm
Elleboog Li flexie(�),�
Elleboog Re flexie(�),�
End Tidal CO2 %,None
End tidal CO2 concentratie (2),mmHg
End tidal CO2 concentratie,mmHg
End Tidal CO2 mmHG,mmHg
End Tidal CO2% (2),None
Energy Expenditure,kcal/24-uur
Enkel Li dorsaalflexie HHD,Geen
Enkel Li dorsaalflexie(�),�
Enkel Re dorsaalflexie HHD,Geen
Enkel Re dorsaalflexie(�),�
Eo % (bloed),Geen
Eo app (bloed),10^9/l
Eo's (urine),Geen
EOabs (bloed),10^9/l
Eos Abs Tel,None
Eosinofielen,None
EPAP,cmH2O
Epstein-Barrvirus DNA kwantitatief PCR (bloed),kopie/ml
Ery's (bloed),10^12/l
Ery's (overig),10^12/l
Ery's/uL (liquor),/�l
Ery/3uL (liquor),/3 �l
Ery/3ul,None
Ery/ul,None
ERYTHROBL. (bloed),/100 leuc
Erythroblasten (bloed),/100 leuc
Erythrocyten,10^12/l
Estradiol (bloed),pmol/l
EtCO2 (%),Geen
Ethanol apotheek (bloed),g/l
Ethanol KCL (bloed),g/l
EVD-cm boven Monroe(2),cm
EVD-cm boven Monroe,cm
EVV_TotaalScore,Geen
Exp. minuut volume (2),l/min
Exp. minuut volume,l/min
Exp. tidal volume (2),ml
Exp. tidal volume,ml
ExtraVasculair Lung Water Index,ml/kg
F/T PSA ratio (bloed),Geen
FAC score,Geen
Factor II activiteit (bloed),Geen
Factor Inhibitor (bloed),BE
Factor IX activiteit (bloed),Geen
Factor V activiteit (bloed),Geen
Factor VII activiteit (bloed),Geen
Factor VIII activiteit (bloed),Geen
Factor X activiteit (bloed),Geen
Factor XI activiteit (bloed),Geen
Factor XII activiteit (bloed),Geen
Factor XIII activiteit (bloed),Geen
FCOHb,None
Fe (bloed),�mol/l
FENOBARBIT (bloed),mg/l
FENYTO.tot (overig),mg/l
FENYTO.vry (bloed),mg/l
Fenytoine spiegel,None
Fenyto�ne (bloed),mg/l
Fenyto�ne vrije fractie (bloed),mg/l
Ferritine (bloed),µg/l
Ferritine,ng/ml
FFA (bloed),mmol/l
FHHb,None
FibrAfbrProd,mg/dl
Fibrinogeen  (bloed),g/l
Fibrinogeen (bloed),g/l
Fibrinogeen,g/l
FIBRONECT. (bloed),mg/l
FiO2 %,Geen
Fistel Stand,ml
Fistel,ml
FLAER granulocyt (bloed),%neg
FLAER monocyt (bloed),%neg
Fleca�nide (bloed),mg/l
Flow trigger ASB,l/min
Flucloxacilline (bloed),mg/l
Fluconazol (bloed),mg/l
Flucytocine (bloed),mg/l
FLUCYTOdal (bloed),mg/l
FLUCYTOtop (bloed),mg/l
Fluoxetine (bloed),µg/l
FMC7 (beenmerg),Geen
FMC7 (bloed),Geen
FMetHb,None
FO2Hb,None
Foliumzuur (bloed),nmol/l
Foliumzuur Bloed,nmol/l
Fosfaat  (verz. urine),mmol/l
Fosfaat (bloed),mmol/l
Fosfaat (urine),mmol/l
Fosfaat (verz. urine),mmol/24uur
Fosfaat,mmol/l
Freq. IMV,None
Frequentie Spontaan,None
Frequentie,None
Fructosamine (bloed),�mol/l
FSH (bloed),E/l
Fysio BBS stand score,Geen
Fysio BBS zit score,Geen
Fysio BBS zit-stand score,Geen
Fysio Co�peratie Totaal,Geen
Fysio Mobiliteit Elleboog flexie extensie links 1,�
Fysio Mobiliteit Elleboog flexie extensie links 2 ,�
Fysio Mobiliteit Elleboog flexie extensie links 3 ,�
Fysio Mobiliteit Elleboog flexie extensie rechts 1,�
Fysio Mobiliteit Elleboog flexie extensie rechts 2,�
Fysio Mobiliteit Elleboog flexie extensie rechts 3,�
Fysio Mobiliteit Elleboog supinatie pron links 1 ,�
Fysio Mobiliteit Elleboog supinatie pron links 2 ,�
Fysio Mobiliteit Elleboog supinatie pron links 3,�
Fysio Mobiliteit Elleboog supinatie pron rechts 1,�
Fysio Mobiliteit Elleboog supinatie pron rechts 2 ,�
Fysio Mobiliteit Elleboog supinatie pron rechts 3 ,�
Fysio Mobiliteit Enkel dorsaal plantair  links 1  ,�
Fysio Mobiliteit Enkel dorsaal plantair  links 2,�
Fysio Mobiliteit Enkel dorsaal plantair  links 3 ,�
Fysio Mobiliteit Enkel dorsaal plantair  rechts 1 ,�
Fysio Mobiliteit Enkel dorsaal plantair  rechts 2,�
Fysio Mobiliteit Enkel dorsaal plantair  rechts 3,�
Fysio Mobiliteit Enkel eversie inversie links 1,�
Fysio Mobiliteit Enkel eversie inversie links 2,�
Fysio Mobiliteit Enkel eversie inversie links 3 ,�
Fysio Mobiliteit Enkel eversie inversie rechts 1 ,�
Fysio Mobiliteit Enkel eversie inversie rechts 2,�
Fysio Mobiliteit Enkel eversie inversie rechts 3,�
Fysio Mobiliteit Heup ab adductie links 1 ,�
Fysio Mobiliteit Heup ab adductie links 2,�
Fysio Mobiliteit Heup ab adductie links 3 ,�
Fysio Mobiliteit Heup ab adductie rechts 1,�
Fysio Mobiliteit Heup ab adductie rechts 2,�
Fysio Mobiliteit Heup ab adductie rechts 3,�
Fysio Mobiliteit Heup exo endorotatie links 1,�
Fysio Mobiliteit Heup exo endorotatie links 2,�
Fysio Mobiliteit Heup exo endorotatie links 3,�
Fysio Mobiliteit Heup exo endorotatie rechts 1,�
Fysio Mobiliteit Heup exo endorotatie rechts 2,�
Fysio Mobiliteit Heup exo endorotatie rechts 3,�
Fysio Mobiliteit Heup flexie extensie links 1 ,�
Fysio Mobiliteit Heup flexie extensie links 2,�
Fysio Mobiliteit Heup flexie extensie links 3 ,�
Fysio Mobiliteit Heup flexie extensie rechts 1,�
Fysio Mobiliteit Heup flexie extensie rechts 2,�
Fysio Mobiliteit Heup flexie extensie rechts 3,�
Fysio Mobiliteit Knie flexie extensie links 1 ,�
Fysio Mobiliteit Knie flexie extensie links 2,�
Fysio Mobiliteit Knie flexie extensie links 3 ,�
Fysio Mobiliteit Knie flexie extensie rechts 1,�
Fysio Mobiliteit Knie flexie extensie rechts 2,�
Fysio Mobiliteit Knie flexie extensie rechts 3,�
Fysio Mobiliteit Pols flexie extensie links 1 ,�
Fysio Mobiliteit Pols flexie extensie links 2,�
Fysio Mobiliteit Pols flexie extensie links 3 ,�
Fysio Mobiliteit Pols flexie extensie rechts 1,�
Fysio Mobiliteit Pols flexie extensie rechts 2,�
Fysio Mobiliteit Pols flexie extensie rechts 3,�
Fysio Mobiliteit Pols radiair ulnair links 1 ,�
Fysio Mobiliteit Pols radiair ulnair links 2,�
Fysio Mobiliteit Pols radiair ulnair links 3,�
Fysio Mobiliteit Pols radiair ulnair rechts 1,�
Fysio Mobiliteit Pols radiair ulnair rechts 2,�
Fysio Mobiliteit Pols radiair ulnair rechts 3,�
Fysio Mobiliteit Schouder ab adductie links 1 ,�
Fysio Mobiliteit Schouder ab adductie links 2,�
Fysio Mobiliteit Schouder ab adductie links 3 ,�
Fysio Mobiliteit Schouder ab adductie rechts 1,�
Fysio Mobiliteit Schouder ab adductie rechts 2,�
Fysio Mobiliteit Schouder ab adductie rechts 3,�
Fysio Mobiliteit Schouder exo endorotatie links 1 ,�
Fysio Mobiliteit Schouder exo endorotatie links 2,�
Fysio Mobiliteit Schouder exo endorotatie links 3,�
Fysio Mobiliteit Schouder exo endorotatie rechts 1,�
Fysio Mobiliteit Schouder exo endorotatie rechts 2,�
Fysio Mobiliteit Schouder exo endorotatie rechts 3,�
Fysio Mobiliteit Schouder flexie extensie links 1 ,�
Fysio Mobiliteit Schouder flexie extensie links 2,�
Fysio Mobiliteit Schouder flexie extensie links 3 ,�
Fysio Mobiliteit Schouder flexie extensie rechts 2,�
Fysio Mobiliteit Schouder flexie extensie rechts 3,�
Fysio Mobiliteit Schouder flexie extensie rechts1,�
Gabapentine (bloed),mg/l
Galactomannan index (bloed),Geen
Galactomannan index (br.-alv.lav),Geen
Galactomannan index (liquor),Geen
Galactomannan index (overig),None
Galdrain Stand,ml
Galdrain Uit,ml
Galzuren (bloed),�mol/l
Gamma GT,E/l
Gamma-Fr  (bloed),Geen
Gamma-Fr (bloed),g/l
Ganciclovir (bloed),mg/l
Gastrine (bloed),ng/l
Gecon.Bili  (bloed),�mol/l
Gecon.Bili (bloed),x TOT
Gecon.Bili (overig),x TOT
Gemeten gewicht,kg
Gentamicine (bloed),mg/l
Gentamicine dalspiegel,mg/l
Gentamicine top spiegel,mg/l
GENTAMIdal (bloed),mg/l
GENTAMIonb (divers)-LabZis2,mg/l
GENTAMItop (bloed),mg/l
Gewicht (Lab bepaling),kg
Gewicht bij opname,kg
Gewicht feces (faeces),g
Global End Diastolic Volume Index,ml/m2
Gluc.Kwan. ( verz. urine),mmol/l
Gluc.Kwan. (urine),mmol/l
Glucose (bloed),mmol/l
Glucose (liquor),mmol/l
Glucose (overig),mmol/l
Glucose ascitesvocht (ascitesvocht),mmol/l
Glucose Astrup,mmol/l
Glucose Bloed,mmol/l
Glucose drainvocht (drain),mmol/l
Glucose in Liquor,mmol/l
Glucose pleuravocht (pleurapunct.),mmol/l
Grauwe els KWAN (bloed),kE/l
GRIP - AVGInsuline4Hours,ml/uur
GRIP - BtnAcceptGripAdvicePressed,None
GRIP - BtnNotAcceptGripAdvicePressed,None
GRIP - CurrentIntake,ml/uur
GRIP - Gluc4HoursAgo,mmol/l
GRIP - GlucLastValue,mmol/l
GRIP - Glucose Management Groepsnummer,None
GRIP - GRIPactivated,None
GRIP - InitialAdviceAfterRestrictions,None
GRIP - InitialAdviceBeforeRestrictions,None
GRIP - InsulinActualRate,ml/uur
GRIP - InsulinAdviceAfterRestrictions,None
GRIP - InsulinAdviceBeforeRestrictions,None
GRIP - InsulinAdviceRate,ml/uur
GRIP - InsulinResistance,None
GRIP - OldIntake,ml/uur
GRIP - pumpdifferenceAfterFilter,None
GRIP - pumpdifferenceBeforeFilter,None
GRIP - RelativeGlucoseAfterFilter,None
Groeihormoon (bloed),mE/l
H.O.P. (urine),mmol/l
H.O.P. (verz. urine),mmol/l
Haloperidol (bloed),µg/l
Hand Li knijpkracht HHD,Geen
Hand Re knijpkracht HHD,Geen
Haptoglobine (bloed),g/l
Hartfrequentie,/min
Hb (bloed),mmol/l
Hb (overig),mmol/l
Hb A2 (bloed),Geen
Hb ascitesvocht (ascitesvocht),mmol/l
Hb F (bloed),Geen
Hb pleuravocht (pleurapunct.),mmol/l
Hb poct (bloed),mmol/l
Hb(v.Bgs) (bloed),mmol/l
HbA1c  (bloed),mmol/mol
HbA1c (bloed),Geen
HBV DNA kwantitatief PCR (bloed),IE/ml
HCG (bloed),E/l
HCG + BHCG (bloed),E/l
HCG + BHCG (liquor),E/l
HCG kU/L (bloed),kE/l
HCO3,mmol/l
HCV RNA kwantitatief PCR (bloed),IE/ml
HCV RNA kwantitatief PCR (overig),IE/ml
Hdl-Chol (bloed),mmol/l
Hematocriet,l
Hemodialyse onttrekken,ml
Hemoglobine,mmol/l
Heup Li flexie(�),�
HFO-Amplitude,cmH2O
HFO-Bias-flow,l/min
HFO-Frequentie,Hz
HFO-Inspiratietijd,Geen
HFO-Paw Bovengrens,cmH2O
HFO-Paw Ondergrens,cmH2O
HFO-Paw,cmH2O
HIV 1 RNA kwan PCR (edta-bloed),kopie/ml
HLA-DR (beenmerg),Geen
HLA-DR (bloed),Geen
Homocysteine (totaal) (bloed),�mol/l
Ht (bloed),Geen
Ht (overig),Geen
Ht pleuravocht (pleurapunct.),Geen
Ht(v.Bgs) (bloed),Geen
Huidig gewicht,kg
Humaan herpesvirus 6 kwan. DNA PCR (bloed),kopie/ml
IABP Augmentatie,mmHg
