icd9,icd10,description
28,B44BZZ3,"c Ultrasonography of Other Intra-Abdominal Arteries, Intravascular"
28,B44KZZ3,"c Ultrasonography of Celiac and Mesenteric Arteries, Intravascular"
28,B44NZZ3,"Ultrasonography of Penile Arteries, Intravascular"
28,B543ZZ3,"Ultrasonography of Right Jugular Veins, Intravascular"
28,B544ZZ3,"Ultrasonography of Left Jugular Veins, Intravascular"
28,B54TZZ3,"Ultrasonography of Portal and Splanchnic Veins, Intravascular"
29,B240ZZ3,"Ultrasonography of Single Coronary Artery, Intravascular"
29,B241ZZ3,"r Ultrasonography of Multiple Coronary Arteries, Intravascular"
29,B244ZZ3,"Ultrasonography of Right Heart, Intravascular"
29,B245ZZ3,"Ultrasonography of Left Heart, Intravascular"
29,B246ZZ3,"Ultrasonography of Right and Left Heart, Intravascular"
29,B24BZZ3,"Ultrasonography of Heart with Aorta, Intravascular"
29,B24CZZ3,"Ultrasonography of Pericardium, Intravascular"
29,B24DZZ3,"Ultrasonography of Pediatric Heart, Intravascular"
29,B340ZZ3,"Ultrasonography of Thoracic Aorta, Intravascular"
29,B341ZZ3,"Ultrasonography of Right Brachiocephalic-Subclavian Artery, Intravascular"
29,B342ZZ3,"Ultrasonography of Left Subclavian Artery, Intravascular"
29,B343ZZ3,"Ultrasonography of Right Common Carotid Artery, Intravascular"
29,B344ZZ3,"r Ultrasonography of Left Common Carotid Artery, Intravascular"
29,B345ZZ3,"Ultrasonography of Bilateral Common Carotid Arteries, Intravascular"
29,B346ZZ3,"Ultrasonography of Right Internal Carotid Artery, Intravascular"
29,B347ZZ3,"Ultrasonography of Left Internal Carotid Artery, Intravascular"
29,B348ZZ3,"Ultrasonography of Bilateral Internal Carotid Arteries, Intravascular"
29,B34HZZ3,"c Ultrasonography of Right Upper Extremity Arteries, Intravascular"
29,B34JZZ3,"Ultrasonography of Left Upper Extremity Arteries, Intravascular"
29,B34KZZ3,"Ultrasonography of Bilateral Upper Extremity Arteries, Intravascular"
29,B34RZZ3,"Ultrasonography of Intracranial Arteries, Intravascular"
29,B34SZZ3,"Ultrasonography of Right Pulmonary Artery, Intravascular"
29,B34TZZ3,"Ultrasonography of Left Pulmonary Artery, Intravascular"
29,B34VZZ3,"Ultrasonography of Ophthalmic Arteries, Intravascular"
29,B440ZZ3,"Ultrasonography of Abdominal Aorta, Intravascular"
29,B444ZZ3,"r Ultrasonography of Superior Mesenteric Artery, Intravascular"
29,B445ZZ3,"r Ultrasonography of Inferior Mesenteric Artery, Intravascular"
29,B446ZZ3,"Ultrasonography of Right Renal Artery, Intravascular"
29,B447ZZ3,"Ultrasonography of Left Renal Artery, Intravascular"
29,B448ZZ3,"Ultrasonography of Bilateral Renal Arteries, Intravascular"
29,B44BZZ3,"c Ultrasonography of Other Intra-Abdominal Arteries, Intravascular"
29,B44FZZ3,"c Ultrasonography of Right Lower Extremity Arteries, Intravascular"
29,B44GZZ3,"Ultrasonography of Left Lower Extremity Arteries, Intravascular"
29,B44HZZ3,"Ultrasonography of Bilateral Lower Extremity Arteries, Intravascular"
29,B44KZZ3,"c Ultrasonography of Celiac and Mesenteric Arteries, Intravascular"
29,B44LZZ3,"Ultrasonography of Femoral Artery, Intravascular"
29,B44NZZ3,"Ultrasonography of Penile Arteries, Intravascular"
29,B543ZZ3,"Ultrasonography of Right Jugular Veins, Intravascular"
29,B544ZZ3,"Ultrasonography of Left Jugular Veins, Intravascular"
29,B546ZZ3,"Ultrasonography of Right Subclavian Vein, Intravascular"
29,B547ZZ3,"Ultrasonography of Left Subclavian Vein, Intravascular"
29,B548ZZ3,"Ultrasonography of Superior Vena Cava, Intravascular"
29,B549ZZ3,"Ultrasonography of Inferior Vena Cava, Intravascular"
29,B54BZZ3,"Ultrasonography of Right Lower Extremity Veins, Intravascular"
29,B54CZZ3,"r Ultrasonography of Left Lower Extremity Veins, Intravascular"
29,B54DZZ3,"Ultrasonography of Bilateral Lower Extremity Veins, Intravascular"
29,B54JZZ3,"Ultrasonography of Right Renal Vein, Intravascular"
29,B54KZZ3,"Ultrasonography of Left Renal Vein, Intravascular"
29,B54LZZ3,"Ultrasonography of Bilateral Renal Veins, Intravascular"
29,B54MZZ3,"Ultrasonography of Right Upper Extremity Veins, Intravascular"
29,B54NZZ3,"r Ultrasonography of Left Upper Extremity Veins, Intravascular"
