ITEMID,COALESCED_CONCEPT_NAME,LABEL,FLUID,CATEGORY,LOINC_CODE,LOINC_CONCEPT_NAME,LOINC_CODE_MATCH,MAPPED_CONCEPT_CODE,MAPPED_CONCEPT_NAME
51197,Microscopic observation [Identifier] in Tissue by Wright stain,Elliptocytes,Blood,Hematology,6681-1,Microscopic observation [Identifier] in Tissue by Wright stain,False,11274-8,Elliptocytes [Presence] in Blood by Light microscopy
50871,Mitochondria Ab [Presence] in Serum,Anti-Mitochondrial Antibody,Blood,Chemistry,14236-4,Mitochondria Ab [Presence] in Serum,False,17284-1,Mitochondria Ab [Presence] in Serum by Immunofluorescence
51253,Monocytes [#/volume] in Blood,Monocyte Count,Blood,Hematology,26484-6,Monocytes [#/volume] in Blood,False,742-7,Monocytes [#/volume] in Blood by Automated count
51254,Monocytes [#/volume] in Blood by Automated count,Monocytes,Blood,Hematology,742-7,Monocytes [#/volume] in Blood by Automated count,False,5905-5,Monocytes/100 leukocytes in Blood by Automated count
51431,Monocytes/100 leukocytes in Body fluid by Manual count,Monos,Other Body Fluid,Hematology,10330-9,Monocytes/100 leukocytes in Body fluid by Manual count,False,26487-9,Monocytes/100 leukocytes in Body fluid
50872,Neutrophil cytoplasmic Ab [Presence] in Serum by Immunofluorescence,Anti-Neutrophil Cytoplasmic Antibody,Blood,Chemistry,35279-9,Neutrophil cytoplasmic Ab [Presence] in Serum by Immunofluorescence,False,17351-8,Neutrophil cytoplasmic Ab [Presence] in Serum
51256,Neutrophils [#/volume] in Urine by Automated count,Neutrophils,Blood,Hematology,761-7,Neutrophils [#/volume] in Urine by Automated count,False,770-8,Neutrophils/100 leukocytes in Blood by Automated count
51232,Neutrophils.hypersegmented [#/volume] in Blood by Manual count,Hypersegmented Neutrophils,Blood,Hematology,766-6,Neutrophils.hypersegmented [#/volume] in Blood by Manual count,False,30450-1,Neutrophils.hypersegmented/100 leukocytes in Blood
50874,Nuclear Ab [Presence] in Serum,"Anti-Nuclear Antibody, Titer",Blood,Chemistry,8061-4,Nuclear Ab [Presence] in Serum,False,5048-4,Nuclear Ab [Titer] in Serum by Immunofluorescence
50873,Nuclear Ab [Units/volume] in Serum by Immunoassay,Anti-Nuclear Antibody,Blood,Chemistry,5047-6,Nuclear Ab [Units/volume] in Serum by Immunoassay,False,8061-4,Nuclear Ab [Presence] in Serum
51257,Nucleated erythrocytes [#/volume] in Blood by Manual count,Nucleated Red Cells,Blood,Hematology,772-4,Nucleated erythrocytes [#/volume] in Blood by Manual count,False,58413-6,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Automated count
51380,Nucleated erythrocytes/100 leukocytes [Ratio] in Synovial fluid by Manual count,NRBC,Joint Fluid,Hematology,48040-0,Nucleated erythrocytes/100 leukocytes [Ratio] in Synovial fluid by Manual count,False,68545-3,Nucleated erythrocytes/100 leukocytes [Ratio] in Synovial fluid
51092,Opiates [Presence] in Urine,"Opiate Screen, Urine",Urine,Chemistry,3879-4,Opiates [Presence] in Urine,False,19295-5,Opiates [Presence] in Urine by Screen method
50816,Oxygen/Total gas setting [Volume Fraction] Ventilator,Oxygen,Blood,Blood Gas,19994-3,Oxygen/Total gas setting [Volume Fraction] Ventilator,False,3150-0,Inhaled oxygen concentration
50966,PHENobarbital [Presence] in Serum or Plasma,Phenobarbital,Blood,Chemistry,3947-9,PHENobarbital [Presence] in Serum or Plasma,False,3948-7,PHENobarbital [Mass/volume] in Serum or Plasma
51150,Parasite identified in Blood,Blood Parasite Smear,Blood,Hematology,24429-3,Parasite identified in Blood,False,91900-1,Parasite [Presence] in Blood by Light microscopy
50875,Parietal cell Ab [Presence] in Serum by Immunofluorescence,Anti-Parietal Cell Antibody,Blood,Chemistry,26969-6,Parietal cell Ab [Presence] in Serum by Immunofluorescence,False,14241-4,Parietal cell Ab [Presence] in Serum
50967,Phenytoin [Presence] in Serum or Plasma,Phenytoin,Blood,Chemistry,3967-7,Phenytoin [Presence] in Serum or Plasma,False,3968-5,Phenytoin [Mass/volume] in Serum or Plasma
51264,Platelet clump [Presence] in Blood by Automated count,Platelet Clumps,Blood,Hematology,40741-1,Platelet clump [Presence] in Blood by Automated count,False,7796-6,Platelet clump [Presence] in Blood by Light microscopy
51240,Platelets Large [Presence] in Blood by Automated count,Large Platelets,Blood,Hematology,34167-7,Platelets Large [Presence] in Blood by Automated count,False,32146-3,Platelets Large [Presence] in Blood by Light microscopy
51266,Platelets [#/volume] in Blood by Manual count,Platelet Smear,Blood,Hematology,778-1,Platelets [#/volume] in Blood by Manual count,False,9317-9,Platelet adequacy [Presence] in Blood by Light microscopy
51302,Platelets reticulated/100 platelets in Blood,Young Cells,Blood,Hematology,51633-6,Platelets reticulated/100 platelets in Blood,False,55433-7,Immature cells/100 leukocytes in Blood
51269,Promyelocytes [#/volume] in Blood by Manual count,Promyelocytes,Blood,Hematology,781-5,Promyelocytes [#/volume] in Blood by Manual count,False,783-1,Promyelocytes/100 leukocytes in Blood by Manual count
51271,Protein C actual/normal in Platelet poor plasma by Chromogenic method,"Protein C, Functional",Blood,Hematology,27818-4,Protein C actual/normal in Platelet poor plasma by Chromogenic method,False,27819-2,Protein C actual/normal in Platelet poor plasma by Coagulation assay
51273,Protein S actual/normal in Platelet poor plasma by Chromogenic method,"Protein S, Functional",Blood,Hematology,31102-7,Protein S actual/normal in Platelet poor plasma by Chromogenic method,False,27822-6,Protein S actual/normal in Platelet poor plasma by Coagulation assay
51102,Protein [Presence] in Urine,"Total Protein, Urine",Urine,Chemistry,2887-8,Protein [Presence] in Urine,False,2888-6,Protein [Mass/volume] in Urine
