,ITEMID,VALUEUOM,ROW_ID,LABEL,FLUID,CATEGORY,LOINC_CODE
281,51491,units,691,pH,Urine,Hematology,5803-2
282,51492,mg/dL,692,Protein,Urine,Hematology,5804-0
283,51493,#/hpf,693,RBC,Urine,Hematology,5808-1
284,51497,#/hpf,697,Renal Epithelial Cells,Urine,Hematology,26052-1
285,51498, ,698,Specific Gravity,Urine,Hematology,5811-5
286,51501,#/hpf,701,Transitional Epithelial Cells,Urine,Hematology,30089-7
287,51507,#/lpf,707,"Urine Casts, Other",Urine,Hematology,9842-6
288,51514,EU/dL,714,Urobilinogen,Urine,Hematology,5818-0
289,51514,mg/dL,714,Urobilinogen,Urine,Hematology,5818-0
290,51516,#/hpf,716,WBC,Urine,Hematology,5821-4
291,51517,#/lpf,717,WBC Casts,Urine,Hematology,5820-6
292,51529,mg/dL,729,Estimated Actual Glucose,BLOOD,CHEMISTRY,
293,51533,%,733,WBCP,BLOOD,HEMATOLOGY,
