sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
90719,PHAEOACREMONIUM SPECIES,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4218836,Phaeoacremonium,Observation,MAPS_TO,,<auto>,1738328037748,
91016,PHOMA HERBARUM,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4267889,Phoma herbarum,Observation,MAPS_TO,,<auto>,1738328037775,
90472,ALCALIGENES FAECALIS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4098060,Alcaligenes faecalis,Observation,MAPS_TO,,<auto>,1738328037780,
90811,COCCIDIOIDES IMMITIS/POSADASII,-1,,0.71,UNCHECKED,UNREVIEWED,,0,4237797,Coccidioides posadasii,Observation,MAPS_TO,,<auto>,1738328037808,
90443,ALTERNARIA SP.,-1,,0.74,UNCHECKED,UNREVIEWED,,0,4326249,Alternaria,Observation,MAPS_TO,,<auto>,1738328037827,
80064,PENICILLIUM SPECIES,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329337101,4180730,Penicillium,Observation,MAPS_TO,,<auto>,1738328037871,
80153,MORAXELLA OSLOENSIS,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329624797,4216542,Moraxella osloensis,Observation,MAPS_TO,,<auto>,1738328037977,
80278,DEMATIACEOUS MOLD,-1,,0.46,APPROVED,EQUAL,Finn Fassbender,1738330357949,4050259,Dematiaceous fungi imperfecti,Observation,MAPS_TO,,<auto>,1738328038106,
90891,CIMEX SPECIES (BEDBUG),-1,,0.47,UNCHECKED,UNREVIEWED,,0,4066143,Rumex,Observation,MAPS_TO,,<auto>,1738328038122,
90635,SALMONELLA OSLO,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4261665,Salmonella Oslo,Observation,MAPS_TO,,<auto>,1738328038214,
80134,ENDOLIMAX NANA,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329594010,4180863,Endolimax nana,Observation,MAPS_TO,,<auto>,1738328038286,
80201,CITROBACTER KOSERI,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329925437,4016448,Citrobacter koseri,Observation,MAPS_TO,,<auto>,1738328038318,
91017,ACIDOVORAX ORYZAE,-1,,1.00,UNCHECKED,UNREVIEWED,,0,36713818,Acidovorax oryzae,Observation,MAPS_TO,,<auto>,1738328038363,
90476,MYCOBACTERIUM AVIUM,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4308737,Mycobacterium avium,Observation,MAPS_TO,,<auto>,1738328038413,
90164,"INTERPHASE FISH ANALYSIS, 100-300 CELLS",-1,,0.34,UNCHECKED,UNREVIEWED,,0,4082221,Morphanalysis,Procedure,MAPS_TO,,<auto>,1738328038418,
90812,AEROCOCCUS URINAE,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4347674,Aerococcus urinae,Observation,MAPS_TO,,<auto>,1738328038424,
80098,CITROBACTER SPECIES,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329488402,4295448,Citrobacter,Observation,MAPS_TO,,<auto>,1738328038480,
90892,KOCURIA SPECIES,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4185765,Kocuria,Observation,MAPS_TO,,<auto>,1738328038525,
90444,EPIDERMOPHYTON FLOCCOSUM,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4096942,Epidermophyton floccosum,Observation,MAPS_TO,,<auto>,1738328038604,
90636,IODAMOEBA BUTSCHLII,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4203603,Iodamoeba bütschlii,Observation,MAPS_TO,,<auto>,1738328038623,
80279,STREPTOCOCCUS MILLERI GROUP,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738330359105,4217696,Streptococcus anginosus group,Observation,MAPS_TO,,<auto>,1738328038752,
80155,"STAPHYLOCOCCUS, COAGULASE NEGATIVE",-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329636517,4020318,"Staphylococcus, coagulase negative",Observation,MAPS_TO,,<auto>,1738328038753,
80135,ASCARIS LUMBRICOIDES,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329594580,4077731,Ascaris lumbricoides,Observation,MAPS_TO,,<auto>,1738328038935,
91019,PSEUDOMONAS OLEOVORANS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4199922,Pseudomonas oleovorans,Observation,MAPS_TO,,<auto>,1738328039002,
80099,CANDIDA PARAPSILOSIS,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329489048,4247544,Candida parapsilosis,Observation,MAPS_TO,,<auto>,1738328039055,
90484,SALMONELLA ORANIENBURG,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4263217,Salmonella Oranienburg,Observation,MAPS_TO,,<auto>,1738328039128,
90893,PAENIBACILLUS SPECIES,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4015673,Paenibacillus,Observation,MAPS_TO,,<auto>,1738328039155,
90166,Problem,-1,,0.61,UNCHECKED,UNREVIEWED,,0,44805681,Problem solving,Procedure,MAPS_TO,,<auto>,1738328039188,
80202,LEGIONELLA PNEUMOPHILA ,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329926163,4216497,Legionella pneumophila,Observation,MAPS_TO,,<auto>,1738328039189,
90387,MYCOBACTERIUM BOVIS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4098115,Mycobacterium bovis,Observation,MAPS_TO,,<auto>,1738328039200,
90813,ACINETOBACTER RADIORESISTENS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4034065,Acinetobacter radioresistens,Observation,MAPS_TO,,<auto>,1738328039262,
70087,Blood (CMV AB),-1,,0.45,APPROVED,EQUAL,Finn Fassbender,1738328883564,4001225,Blood specimen,Specimen,MAPS_TO,,Finn Fassbender,1738328882493,
80156,CORYNEBACTERIUM STRIATUM,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329637502,4274350,Corynebacterium striatum,Observation,MAPS_TO,,<auto>,1738328039380,
90638,RARE BLASTOCYSTIS HOMINIS,-1,,0.89,UNCHECKED,UNREVIEWED,,0,4103712,Blastocystis hominis,Observation,MAPS_TO,,<auto>,1738328039429,
91020,MYCOBACTERIUM PORCINUM,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4237063,Mycobacterium porcinum,Observation,MAPS_TO,,<auto>,1738328039511,
80100,CANDIDA GUILLIERMONDII,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329489674,4106871,Meyerozyma guilliermondii,Observation,MAPS_TO,,<auto>,1738328039517,
80136,ACTINOMYCES ODONTOLYTICUS,-1,,1.00,APPROVED,EQUAL,Finn Fassbender,1738329595072,4025113,Schaalia odontolytica,Observation,MAPS_TO,,<auto>,1738328039520,
70088,Blood (EBV),-1,,0.23,APPROVED,EQUAL,Finn Fassbender,1738328887077,4001225,Blood specimen,Specimen,MAPS_TO,,<auto>,1738328039838,
90390,TRICHOPHYTON RUBRUM,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4290329,Trichophyton rubrum,Observation,MAPS_TO,,<auto>,1738328039853,
90486,STAPHYLOCOCCUS SACCHAROLYTICUS,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4164941,Staphylococcus saccharolyticus,Observation,MAPS_TO,,<auto>,1738328039905,
90814,ARTHROGRAPHIS SPECIES,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4010722,Arthrographis,Observation,MAPS_TO,,<auto>,1738328039917,
